video,sr_auc,sr_nss,sr_kl,sr_cc,sr_sim,bms_auc,bms_nss,bms_kl,bms_cc,bms_sim,sr_rgb_auc,sr_rgb_nss,sr_rgb_kl,sr_rgb_cc,sr_rgb_sim,bms_rgb_auc,bms_rgb_nss,bms_rgb_kl,bms_rgb_cc,bms_rgb_sim,sr_time,bms_time,sr_rgb_time,bms_rgb_time
Diving-Side-001,0.8658265019160541,2.294671077295267,2.307668054677947,0.3935495278271474,0.24879273184586603,0.7300943379993851,1.0813545392431747,5.439778525081787,0.19179728348072503,0.1775534524573001,0.8486927605058219,2.909818836911793,2.0786060934632635,0.46757844766998996,0.24089338771075997,0.7573737348062323,1.95457822458449,7.337524501942336,0.33485520381894973,0.2434523109074122,0.005178928375244141,0.07892198222024101,0.0005716085433959961,0.06684422492980957
Diving-Side-002,0.8471550423816743,1.5585046720100777,2.446367344380256,0.23651828853800413,0.15260859749922992,0.7521916187460312,0.8365791160435297,5.661809693980559,0.12026947866649677,0.11892984053032828,0.8385676709700599,1.480493226890198,2.5588929472021027,0.2265215710146434,0.14304461538383142,0.8391547389375462,3.302285898783482,4.834950790306193,0.4529016618686059,0.29455837687104713,0.005321315356663295,0.07975147451673235,0.0005456209182739258,0.06842960630144392
Diving-Side-003,0.7938486518064574,1.3700441391022942,3.3933330621207527,0.2766777024884845,0.2180952163473003,0.6836013457542498,0.8121845369372072,6.848665455392273,0.1271037653767175,0.14184026058684143,0.7530806836213436,1.234895770695802,2.72582855493857,0.20837109258229353,0.16144906459020575,0.7406787717072929,2.1153290166798864,8.355781941765233,0.3609099189146564,0.24885811805923155,0.005107453891209194,0.08162541048867362,0.0006432192666190011,0.06869043622698102
Diving-Side-004,0.7950573011023551,1.6152249057157935,3.3066471895394,0.2956320277256293,0.2149369997101614,0.7222757898263055,1.12066878002418,6.7189351934828965,0.18154100156337738,0.17130698004859138,0.7905724204597215,1.5651066982250417,2.507555911818051,0.2643143984851893,0.1863568163472121,0.7603952061965032,2.1949491404427532,6.927203922814213,0.33869956082105107,0.24992534168150238,0.005228536469595773,0.08052437646048409,0.00035740647997174947,0.06773628507341657
Golf-Swing-Back-001,0.599775798905131,0.7817794139535172,5.910893683230929,0.1886759998061295,0.21011840330505238,0.5882171620386157,0.6177292250283788,12.733066105232016,0.11011042773669756,0.11550791620793327,0.5978221136064874,0.20836868000475087,2.668449657154203,0.060752486354416615,0.17367993758721958,0.534365537938429,0.08340767323857007,9.511089759320225,0.04455308862077553,0.1512992121616174,0.004870955149332682,0.07696434656778971,0.000533596674601237,0.06561172803243001
Golf-Swing-Back-002,0.6742987208682074,1.062791154021831,5.298599306655708,0.23494873590794113,0.25475552496386306,0.5817415938110851,0.23115019758610275,12.755918342431661,0.11012270835514477,0.11796005360687546,0.6148962069104407,0.3445931940365794,2.5779760670858693,0.0768379221950424,0.17574797710883136,0.577757240144132,0.2961932853695275,9.65571636565624,0.055207111923049494,0.14441663732910953,0.004886563618977865,0.07689212163289388,0.0006008942921956381,0.0651771068572998
Golf-Swing-Back-003,0.7455044257949842,0.31601170309285476,7.72373989605772,0.031184000146984296,0.06999075414057807,0.5686718903553754,0.06853381403738544,14.833149004920791,0.0009240800167831761,0.03309993203250823,0.8054418934588576,1.3758574110809982,2.8691152893838634,0.13982974827430225,0.14039599107350603,0.5916805570710424,0.02429497583205773,11.916555994000207,-0.008988088081897416,0.052249717567519685,0.007005993525187174,0.11749253273010254,0.0007993380228678385,0.09434337615966797
Golf-Swing-Back-004,0.7542261098256966,0.9918777194977881,6.184815156166288,0.14499271222359408,0.14098796571017047,0.5920524196699567,0.33284957090068784,12.612705546702573,0.04482457665061569,0.081089077749211,0.7470491129640998,0.7400014858865555,3.102590656701551,0.11341109703656453,0.13429351992816219,0.597269447143758,0.3142782267191671,9.337810049610024,0.05131913919264021,0.11117191820767823,0.006907208760579427,0.11510445276896158,0.0006673018137613933,0.09011410077412924
Golf-Swing-Back-005,0.5247480427619046,0.10110549757149022,12.442888601326933,0.020051040946209853,0.09205898956787249,0.525874806703442,0.22428028197011698,15.355363720254656,0.022110017958406766,0.05671648352276297,0.5397519689583298,0.038399811052627165,3.383545145178181,-0.01621922121948707,0.09946881907380827,0.5822149158193038,0.25430977896094065,5.113232302499668,0.03897185144383245,0.12745671752175244,0.006106042861938476,0.09641389846801758,0.0006679852803548177,0.07982101440429687
Golf-Swing-Front-001,0.774149784204116,1.03841401205698,4.928646878483679,0.14912517200613354,0.165665786392542,0.5930739303550101,0.6410084335476076,12.456880890795874,0.07274376349757265,0.09533200210525149,0.7883772593559635,0.9958744704860472,2.822594506185483,0.13857379391480135,0.16051674327009977,0.5615355745402387,0.3390759746852854,11.469016624575177,0.040953020256846065,0.11244857969965402,0.007158581415812174,0.12098347345987956,0.0008022626241048177,0.09865508079528809
