video,sr_auc,sr_nss,sr_kl,sr_cc,sr_sim,bms_auc,bms_nss,bms_kl,bms_cc,bms_sim,sr_rgb_auc,sr_rgb_nss,sr_rgb_kl,sr_rgb_cc,sr_rgb_sim,bms_rgb_auc,bms_rgb_nss,bms_rgb_kl,bms_rgb_cc,bms_rgb_sim
Diving-Side-001,0.8759008832310307,3.099773123423709,1.9003140778920722,0.4948986298318094,0.22200585918164178,0.7225653788098427,0.9192329278167745,5.791123413293239,0.17711524466799833,0.151349774451677,0.867858274610714,3.0114171947452935,1.9931346876856484,0.48224544387086055,0.24331801706843034,0.7801643683806591,2.0053515748237043,6.740768655090079,0.34366516964052185,0.24983939723479207
Diving-Side-002,0.8774875100211031,2.0387124607900766,2.3675613589366624,0.30670919569840316,0.14406834708346966,0.7767189063427193,1.1156656067019748,5.057561269141032,0.17855845700053358,0.14058069536171044,0.8439712047388298,1.5652193215046297,2.544537241955032,0.2330094067699848,0.14010710224320747,0.8508734153912598,3.30566303376743,4.834679806261573,0.4610588003264982,0.2997357510993702
Diving-Side-003,0.8177072812503771,1.8911906716458067,2.1261063793068686,0.3533558283526422,0.20070518098051401,0.6684682191024133,0.7718742037227669,6.792062716967637,0.15143661281919624,0.14639407228911758,0.7557380224209227,1.115824771216056,2.6905163336154314,0.19595631592154017,0.15761184833410194,0.7537627504258343,2.1821103638157022,7.927193000099297,0.3699234199439511,0.25351501513432945
Diving-Side-004,0.8481937557179025,2.3294379197775297,2.0183426351157396,0.4108524822645848,0.20727230591304177,0.7266179188459891,1.1686119610244319,5.7867655389364065,0.20575601862365697,0.1688852716249402,0.8254781210795741,1.7866663876275752,2.3453823340737294,0.2948019553515691,0.1899883894951328,0.7777701510376015,2.1777073331626564,6.570496061231316,0.3575942521829043,0.25909178768627944
Golf-Swing-Back-001,0.6406882511417267,0.9786629004834184,2.2309206279074014,0.22299362437546497,0.22122256763346973,0.6108464331829416,0.6193239337791024,9.388562502218814,0.13284664362877802,0.16865823273306144,0.6018594997642283,0.24317716896985167,2.6395968375007297,0.06810964988037675,0.1772480882302758,0.556377213892689,0.2130262469222799,9.384084617530517,0.057304969071222865,0.1559124961650421
Golf-Swing-Back-002,0.6456986188211282,0.7490361977634807,2.196678693064186,0.18486317915787695,0.22459634372535542,0.5948933655730069,0.4243569078349225,8.302127368651558,0.10573409414149657,0.16621070702440893,0.5930465659081766,0.26730112939148687,2.59528194550338,0.05635897035863918,0.17988940630012407,0.5627015218988847,0.23905873163626765,9.900129025655314,0.04672126839463013,0.14542816932110633
Golf-Swing-Back-003,0.6988030731430711,0.40775224862999565,3.0122572317321183,0.04906690554498314,0.1046543501706595,0.5306180639639099,0.12481643352910476,10.688535821371225,0.01505427814393103,0.07242505353155293,0.7896797162277154,1.4381290602223664,2.8337553890830547,0.15570032220055485,0.15097801996010826,0.6030632579145406,0.053963360948643534,11.597892835514843,-0.003438267522005383,0.061073066185728206
Golf-Swing-Back-004,0.6991918815885237,1.065097536989159,2.6549429439873515,0.16935314779844943,0.14538990105116154,0.5829418652106446,0.3836722986287088,10.706612371321924,0.07489478955733075,0.11344336972271425,0.7421993392198702,0.750147574797005,3.0431633969016105,0.1147791800794802,0.13761252093776719,0.5774773486283636,0.24849708081349411,9.882751227788038,0.039203613659360224,0.10590037411619925
Golf-Swing-Back-005,0.5358056121827433,0.04631325991863584,3.0354825879649288,0.0078712188311052,0.13315934144960198,0.5696370422147663,0.2575028744893145,9.207842758133044,0.043361721228501564,0.10830016224021949,0.5636410201060508,0.08115561586683784,3.272964118547073,-0.012440764438903828,0.10667205541254818,0.5844574831540899,0.25065752605097014,5.078030848046464,0.04337816948599754,0.14134973596320374
Golf-Swing-Front-001,0.7208349766078826,1.1088634530202115,2.814622135265149,0.14607532032868367,0.14341496260099906,0.5763046588937576,0.46731563777936885,9.620140109215663,0.055910100443192924,0.10555376726593198,0.8120875789181281,1.2141263246474148,2.7502045561495994,0.1506253073879686,0.16659474534913515,0.5779361180378909,0.4786948958109825,11.519518436565416,0.048225983785793916,0.1114625607156416
