video,sr_auc,sr_nss,sr_kl,sr_cc,sr_sim,bms_auc,bms_nss,bms_kl,bms_cc,bms_sim,sr_rgb_auc,sr_rgb_nss,sr_rgb_kl,sr_rgb_cc,sr_rgb_sim,bms_rgb_auc,bms_rgb_nss,bms_rgb_kl,bms_rgb_cc,bms_rgb_sim
Diving-Side-001,0.8701237399544475,2.068096150352374,2.310060405156798,0.3628183708193076,0.23742820772397646,0.698067440843165,0.8882243449171089,5.684950246624247,0.15742150852035958,0.14953139885233152,0.8722465986819636,2.9042700035744105,2.062597561230862,0.46074269455306693,0.2305840696713117,0.8036830511003564,2.125783213465439,6.2357849315640665,0.3588618691685436,0.2550285187634973
Diving-Side-002,0.8479712230380152,1.4847498229588891,2.4469810900634874,0.22966785125362021,0.14437837377845258,0.7709815882370432,0.9246098129898911,5.055841640909286,0.13609972254991098,0.12327910686416393,0.8570139220181765,1.6679643078781914,2.5193774892528378,0.24233711723634607,0.13866469296256467,0.8761768670771555,3.5911997646033553,4.512626065599512,0.48812665326582233,0.3094749572106679
Diving-Side-003,0.7869107665055197,1.283646042206337,3.785237990902594,0.24158808220637687,0.19478000352546132,0.6498955528487379,0.6147695580779803,5.92969002948185,0.1356347538240107,0.1599239643896115,0.7189699128094698,1.0576373353245825,2.940453652115654,0.17635740316623172,0.14216625307059616,0.7240814245180786,1.8807292793804633,8.848143324370074,0.31199260376174587,0.2192171133402165
Diving-Side-004,0.7943626256078844,1.5383313194127524,3.6814128159550297,0.2848410012643658,0.20745657294393605,0.6980666956544449,0.8863494273144568,7.145789471722859,0.13180486417319087,0.13525252368648963,0.7845896922013441,1.6101201487777266,2.672118789832623,0.25230790056505376,0.16986711255172063,0.7307166164951343,1.9911294085069435,7.67305104640782,0.3139760473934216,0.23867751569487589
Golf-Swing-Back-001,0.6257074707131217,0.945128866981655,5.539665982466226,0.2535949694005342,0.25595905381626904,0.6020479302528775,0.7528084399756066,11.11467595246706,0.1613031195056396,0.15432229185870325,0.5793312306264348,0.18808756484043587,2.6016089508427833,0.06038518455634892,0.18090707478334575,0.5768189122762307,0.2821405812295718,9.091734163542496,0.0747204947982187,0.16832769177872595
Golf-Swing-Back-002,0.6240264874706032,1.0558323227542552,5.821405554898735,0.23594794494306973,0.25820963872449787,0.5425877177910586,0.3520233855220544,12.38345060115581,0.09402409003359898,0.12039068928904621,0.5684210630949335,0.2747951758149079,2.654807710177242,0.06338589375098921,0.18158123351701874,0.5625119588363598,0.3234573256828753,9.886964873853556,0.050861230486598775,0.14655895000414262
Golf-Swing-Back-003,0.72933839988861,0.1568850836670709,7.918520215903436,0.009093915492740579,0.054665348497502986,0.6024083027437941,0.09426598367789586,14.530398009832878,0.0037209125794559384,0.035932046512422,0.7964671829104187,1.5010182975290214,2.9539784161082014,0.15367460125246032,0.13658806521832612,0.6050643886963977,0.05059042454564433,11.38334972510681,-0.001018736982884718,0.06224151028610578
Golf-Swing-Back-004,0.7400916409451789,0.8357651626536429,6.385279724054169,0.11936049560918717,0.13104238029452367,0.5618116349308792,0.14628745394326428,13.010389391500782,0.036485902940299485,0.07407851189121022,0.7628848928969448,0.9697846342962566,2.9990428355331145,0.14309535661907427,0.14272736541170303,0.617413468888094,0.429689734348544,10.53194861644943,0.043324395290210704,0.09650621773518793
Golf-Swing-Back-005,0.5341987701045139,-0.008578368761665638,12.119375527451743,0.004692319151945334,0.08127148028815946,0.5072158054130718,0.1203212256830818,15.674952178646905,0.013577923315413775,0.04756224941679141,0.566268935800898,0.023908431278500505,3.3371830653874404,-0.017439557943883906,0.09582290992199334,0.5851597114729664,0.338306101429322,5.275722240415077,0.05345960832647515,0.13458772082467244
Golf-Swing-Front-001,0.7819666445454599,1.1755614813363453,4.863622422423386,0.1660023885966416,0.17603053422797219,0.5641919489089383,0.31545680574801066,12.993913928563662,0.04449227277336778,0.08318077666278194,0.8232215233222867,1.2048685041831968,2.6952740754404623,0.1594717971669312,0.17964754856774737,0.5787044333516912,0.46116533269203286,11.914857593417835,0.04264216199199581,0.11568222935261095
