video,sr_auc,sr_nss,sr_kl,sr_cc,sr_sim,bms_auc,bms_nss,bms_kl,bms_cc,bms_sim,sr_rgb_auc,sr_rgb_nss,sr_rgb_kl,sr_rgb_cc,sr_rgb_sim,bms_rgb_auc,bms_rgb_nss,bms_rgb_kl,bms_rgb_cc,bms_rgb_sim,sr_time,bms_time,sr_rgb_time,bms_rgb_time
Diving-Side-001,0.8820158442566034,2.5583790093160137,2.0666863133447553,0.43309266976817185,0.22221026065754582,0.8131307616084082,2.0114701317654147,5.939001599435198,0.3374483907664701,0.23468703939028063,0.8722465998701575,2.9042700035744105,2.062597561230862,0.46074269455306693,0.2305840696713117,0.8021912933159837,2.125783213465439,6.2357849315640665,0.3588618691685436,0.2550285187634973,0.0047238089821555395,0.044698693535544655,0.0006369243968616832,0.0610756440596147
Diving-Side-002,0.8924849635158261,2.5346984746334993,2.1933085629983573,0.36641833983682603,0.1717065083602791,0.8428546405490244,2.342749167893094,5.544461900984566,0.30131240649104546,0.19703134847621742,0.8570139153203429,1.6679643078781914,2.5193774892528378,0.24233711723634607,0.13866469296256467,0.8763444820204483,3.5911997646033553,4.512626065599512,0.48812665326582233,0.3094749572106679,0.004141677509654652,0.043569846586747604,0.0006831342523748225,0.06037738106467507
Diving-Side-003,0.7858233745388247,1.5180416624343045,2.5576136130907523,0.2591849902161225,0.18182814505321535,0.7178546461785401,1.1710380523743196,8.119334652290503,0.2077395872201995,0.1842575873540393,0.7189698883003378,1.0576373353245825,2.940453652115654,0.17635740316623172,0.14216625307059616,0.7259083028119077,1.8807292793804633,8.848143324370074,0.31199260376174587,0.2192171133402165,0.004323677583174272,0.043182871558449486,0.0005005272951993076,0.06184070760553533
Diving-Side-004,0.7910534913478249,1.9564939581205012,2.3895129609140064,0.3432813013894307,0.21943642017555537,0.756166956877247,2.045826056395082,6.949877860446192,0.34568533377448124,0.2673617331078308,0.7845897096453335,1.6101201487777266,2.672118789832623,0.25230790056505376,0.16986711255172063,0.728044453160699,1.9911294085069435,7.67305104640782,0.3139760473934216,0.23867751569487589,0.005058158527721058,0.04364098202098499,0.0005460435693914241,0.06286029382185503
Golf-Swing-Back-001,0.6415842419112777,0.9069331241961143,2.696437012838769,0.24092421193576088,0.26237856384834923,0.642332686923566,0.624658638037488,12.510054999300257,0.1815326472667503,0.17962409242919763,0.5793312334622828,0.18808756484043587,2.6016089508427833,0.06038518455634892,0.18090707478334575,0.5752848119026387,0.2821405812295718,9.091734163542496,0.0747204947982187,0.16832769177872595,0.004295090834299724,0.03553541501363119,0.0006670355796813965,0.056653459866841636
Golf-Swing-Back-002,0.6276942060340798,0.9093669574041082,2.872083565950987,0.20614174067929306,0.2534879004639918,0.6159575108583348,0.5616179027335186,12.766834770885817,0.1466644091740214,0.16674647002955834,0.5684210779005466,0.2747951758149079,2.654807710177242,0.06338589375098921,0.18158123351701874,0.5600722365976306,0.3234573256828753,9.886964873853556,0.050861230486598775,0.14655895000414262,0.004496852556864421,0.036802192529042564,0.0006027022997538248,0.06061855951944987
Golf-Swing-Back-003,0.6991850957184865,0.08114595927777016,4.318982869243244,0.0030711927248350105,0.06393790193712022,0.5377765708447654,-0.0025242823974603126,16.221879721387342,-0.011395242529889658,0.026664669379506716,0.7964672044368118,1.5010182975290214,2.9539784161082014,0.15367460125246032,0.13658806521832612,0.607631767984001,0.05059042454564433,11.38334972510681,-0.001018736982884718,0.06224151028610578,0.006463766098022461,0.05524309476216634,0.00070953369140625,0.08792827526728313
Golf-Swing-Back-004,0.7382795148118472,0.645064643677928,3.3298128936539126,0.08799789812320041,0.1278087909979527,0.577964062383228,0.39633650110092483,14.282911622516634,0.04543930758707839,0.07433440823185657,0.7628849021832783,0.9697846342962566,2.9990428355331145,0.14309535661907427,0.14272736541170303,0.6137818815667269,0.429689734348544,10.53194861644943,0.043324395290210704,0.09650621773518793,0.006156603495279948,0.05429607629776001,0.000875850518544515,0.08373695611953735
Golf-Swing-Back-005,0.5583364160419687,0.032527164316997585,5.148100252725718,0.0030454112559709146,0.09367302782713532,0.5137558557565084,0.12584845105246342,15.964053522745084,0.011832404044163837,0.06010963115048449,0.5662688970720284,0.023908431278500505,3.3371830653874404,-0.017439557943883906,0.09582290992199334,0.5858044559655555,0.338306101429322,5.275722240415077,0.05345960832647515,0.13458772082467244,0.005354245503743489,0.04414204756418864,0.0006671945254007975,0.07038513819376628
Golf-Swing-Front-001,0.7650634110133469,1.2959778083698128,3.107369882262755,0.16015200942326252,0.18004821631084897,0.6191363043680035,1.1056077059219251,14.085262820481512,0.10156743189807212,0.10819731852849042,0.8232215112745153,1.2048685041831968,2.6952740754404623,0.1594717971669312,0.17964754856774737,0.5802447031884451,0.46116533269203286,11.914857593417835,0.04264216199199581,0.11568222935261095,0.006424466768900554,0.05597935120264689,0.0006673336029052734,0.08659013112386067
Kicking-Front-001,0.6901003203603135,0.828228660799509,2.5497921090199993,0.2833069972201348,0.3020058608409185,0.6614334981219105,0.9101291053276114,9.126648352426173,0.2500331357773337,0.26216561575175773,0.6879243615028834,0.5351521401026166,2.361178823358405,0.17182044668132335,0.2410594196078379,0.8490544854319513,1.4012009009280988,4.283398185053935,0.3527543351880852,0.3278906436956433,0.0036017894744873047,0.025439071655273437,0.0006007194519042969,0.03666620254516602
Kicking-Front-002,0.8100318803616403,0.9485158109490017,1.8781232335748332,0.2666388448548854,0.27269481184420064,0.7577604499826924,0.772904301410309,6.562887034367992,0.2524521081050194,0.2662449006110032,0.7512601464058348,0.7660620064242009,2.2357829573867303,0.15396880728437073,0.19757388139361343,0.7357389411597755,0.7056226205171298,5.455161810931111,0.11503039542975771,0.19650967148790874,0.0031027793884277344,0.023551750183105468,0.0006004810333251953,0.03754339218139648
Kicking-Front-003,0.8894695935115857,0.6337251747324604,2.673331198913772,0.08552124989121221,0.13952719421929408,0.7076281607387461,0.44812650682107585,11.540581106588341,0.05917195949852168,0.10251489006779688,0.8957555641453834,2.065510551366767,2.305803348777655,0.26218718304936045,0.19469783913360816,0.7995811391129461,2.1296618575773225,8.268725770587245,0.22811520767876026,0.17843773382527192,0.006170845031738282,0.05506401062011719,0.0008006572723388671,0.08858418464660645
Kicking-Front-004,0.9006160621053032,1.453340026883945,1.6580571255702978,0.3324807788679661,0.30850644259518817,0.8200257620061852,1.1015667706500525,6.708024767739626,0.24735530030411876,0.25656760642058896,0.9113726273361407,2.448313805605051,1.5151961618417842,0.45065139711200874,0.3335485717228426,0.7691305322954739,1.638111265737442,5.97912967393168,0.33361830151312244,0.24905078927931842,0.004906129837036133,0.0369046688079834,0.0008006095886230469,0.06273365020751953
Kicking-Front-005,0.637496251002224,0.41455964499254117,2.664062270411839,0.11303396636507652,0.1758424033287497,0.6077418437541666,0.5132843923965158,7.135084750955748,0.11327107989945481,0.17765237595683536,0.6514788439242587,0.5776434658678763,2.5630790486939814,0.14792361990450248,0.18468913783898103,0.706512173465548,0.7802908688710659,4.3138822817221945,0.18248749801464068,0.20361243149774116,0.004802179336547851,0.044964265823364255,0.0005999088287353515,0.0627058506011963
Kicking-Front-006,0.7525397179568765,1.3043328958466778,2.977914511208547,0.22083604121200642,0.20829449536491573,0.7072126009802301,1.1499240433849929,10.132126484739508,0.17486890332724775,0.18854449206356744,0.7523555298943088,1.275991784475176,2.7004171025050008,0.20294354129243142,0.17530868983197187,0.7601379607524255,1.5082688594109785,6.1166731631205895,0.23196130743113424,0.18590592767679165,0.005803823471069336,0.056207132339477536,0.0008007526397705078,0.08496999740600586
Lifting-001,0.9281931323971782,2.624321076854256,1.3427654318772748,0.4875794484495611,0.3557814613695004,0.8820523847816261,2.3107285540851192,4.347065045989529,0.41532041844970774,0.3422796366239647,0.8697262203062314,2.364045222618373,1.8136724749628175,0.4049407934932403,0.2542763254392252,0.8591207509822822,1.7381462675991022,4.1257820129730405,0.3154762769173329,0.28811480347735413,0.004744871802951979,0.038601429566093116,0.0007403829823369565,0.06335440925929857
Lifting-002,0.8681896636118901,1.9131325211982804,1.5004449990777902,0.3996614489932785,0.33726642265059653,0.7698150850266667,1.6107412945604926,7.463898329160103,0.3120061461019092,0.2751814488799018,0.7856177244752495,0.9843393520436727,1.9770460293901941,0.21874818690028483,0.21885961578663143,0.8105980252270967,1.1131866552112422,4.211125911145519,0.24475133654619133,0.24827616069494385,0.004361022602428089,0.036487243392250755,0.0005461519414728338,0.060046727007085625
Riding-Horse-001,0.8555238796673869,2.141447640082868,1.7296881894062883,0.47581385147283434,0.41672468904525656,0.8150707348717847,1.7847839786507864,6.821868760978724,0.374251583376326,0.3363042894061101,0.8474841628676812,1.700590630953742,1.8432035694335216,0.3630087741056882,0.23682770149945823,0.6247695870176346,0.2428012244793283,6.890177003284393,0.07304726479554252,0.1384111317897526,0.004464348157246907,0.03736946980158488,0.0007520318031311035,0.06483242909113567
Riding-Horse-002,0.8297433787937707,1.7234032480845964,1.7446081253180852,0.44061716160729597,0.41000190641286877,0.7771991750101918,1.3186079815288505,8.09882240705283,0.3153597841416162,0.3054360174321023,0.8262056960330586,1.4359690742224405,1.6156838367753616,0.3484810328172028,0.2961784502503407,0.5865667433297218,0.16702063538184742,7.486136033469172,0.04133975366903882,0.1542395025705394,0.004170914491017659,0.03482496738433838,0.0006674528121948242,0.06094078222910563
