video,sr_auc,sr_nss,sr_kl,sr_cc,sr_sim,bms_auc,bms_nss,bms_kl,bms_cc,bms_sim,sr_rgb_auc,sr_rgb_nss,sr_rgb_kl,sr_rgb_cc,sr_rgb_sim,bms_rgb_auc,bms_rgb_nss,bms_rgb_kl,bms_rgb_cc,bms_rgb_sim
Diving-Side-001,0.5951060365252262,0.923922070632085,2.7444053728817304,0.17069490421432026,0.1398538197834159,0.6242356418140885,0.5124637029792,7.32488721351054,0.09649420442770497,0.12177376925058443,0.5462248033367434,0.5769423633362231,3.622950885243457,0.13076777889728547,0.1343856074924765,0.5466173265912171,0.46082708562620533,11.527102201370434,0.10672365881100923,0.12672247013793134
Diving-Side-002,0.6197584462098986,0.5617321827130338,3.1256025999029893,0.09723649906342272,0.09894266926815179,0.6335793265742323,0.38280550868012536,7.323776028366895,0.07773521296699042,0.10132505633593326,0.6558221878774901,0.5303499118701017,3.3932533273071903,0.09070604635977438,0.10061744903942733,0.6800359016576526,1.479887072554572,8.016250454086011,0.26000092972047784,0.2049553253960017
Diving-Side-003,0.5355928466556757,0.17825498131989942,3.112596420523038,0.03804769493444056,0.10685491125421105,0.6011540174966796,0.5048443073495696,7.9934791103972875,0.07656857053017233,0.114073415344521,0.5313024626625221,0.1329849652670112,3.919259913702241,0.027490522692710104,0.09099853336703445,0.5804337594583302,0.7935185155660724,11.82676357757782,0.13191549664384397,0.13616830906123795
Diving-Side-004,0.48610049034376995,1.7001118640708984e-05,3.2799993472479856,0.014709917195915984,0.10463401552601091,0.5111606283260494,0.007052261316488863,10.180715169393169,0.0011917460847566087,0.07911229590559946,0.43122611977756964,-0.12211046600412634,4.350635630938068,-0.012253503687976872,0.0837771617166698,0.5586119959363175,0.1703619072888081,11.155578975809934,0.049667479329734206,0.09509569207414567
Golf-Swing-Back-001,0.5473389912525609,0.7585510850147987,2.472701868821545,0.15528426594587325,0.18999967386579913,0.5491719934494055,0.8141341745546463,12.90645994852779,0.10808975376070767,0.12364953613355616,0.5584072283881396,-0.0016459416566989963,2.821986364777937,0.014537835908193608,0.14709462036204576,0.6180803408616572,0.31864308194459795,8.096858788613556,0.08454500245243639,0.1639777150492124
Golf-Swing-Back-002,0.5105669123076251,0.13537002839770268,2.515566538283239,0.05909304340103918,0.17989964348597323,0.564987070344964,0.2188179241077205,12.904815253828462,0.07451510472685023,0.11854668910592076,0.545107327887253,0.026592226288333878,2.75174840381253,0.011314768740859286,0.15079532890601796,0.6310863699860773,0.3666523631319621,8.947711640232473,0.06849862339477704,0.14299503445916475
Golf-Swing-Back-003,0.6421334375776142,0.052018498822419136,3.3065345094497056,0.013367562220697432,0.09805930357944419,0.5327943149530523,-0.019121281092673158,15.320082756984988,0.010434536971702272,0.04617402965710115,0.6230684306297186,0.558189490143458,3.625098823694312,0.04921333907238903,0.1041257064348648,0.4847942126000812,-0.15675866368122032,13.824198674977572,-0.02234431130473947,0.04427083245875526
Golf-Swing-Back-004,0.7267852755932893,0.5197818419484451,2.6636876168314276,0.1266566169281878,0.1534001657661799,0.5950528613108853,0.226763715975347,11.703248385102427,0.06149736949608293,0.12746494805534242,0.7963934786475934,0.8956738273680801,2.5000092852951523,0.19582483214316715,0.18852500165709485,0.5552122822133755,0.13577170139244094,9.023984867986222,0.07044698600483547,0.12419356270773113
Golf-Swing-Back-005,0.5924418063032914,0.21552598336631784,2.779250682328962,0.05802688402428769,0.16563024626907252,0.543577107129902,0.18620785569089565,14.702580471097864,0.04899126480128404,0.08529133498487998,0.3876422875176831,-0.34095140524688095,3.5861819071281946,-0.0747262860621342,0.0947825910640089,0.660481760093214,0.5568226383715291,3.9494207604932714,0.10589572967220323,0.17341402407768322
Golf-Swing-Front-001,0.6728930402733495,0.4660472048332926,2.923342882578361,0.07228335853879904,0.13622870469380047,0.5650721450327528,0.3859675691016007,13.181736452256851,0.04141956763957456,0.08936090115826108,0.7809173889733863,0.7208253714864961,2.9392571119172826,0.0924002705767487,0.15437107177332585,0.5658819747519424,0.21640033506220585,11.054966208746968,0.018371441813808523,0.10277830789472928
